datetime,solariradiation
4/1/2022,126
4/2/2022,128
4/3/2022,176
4/4/2022,77
4/5/2022,74
4/6/2022,2
4/7/2022,25
4/8/2022,0
4/9/2022,44
4/10/2022,108
4/11/2022,107
4/12/2022,217
4/13/2022,95
4/14/2022,240
4/15/2022,233
4/16/2022,215
4/17/2022,239
4/18/2022,104
4/19/2022,12
4/20/2022,58
4/21/2022,242
4/22/2022,225
4/23/2022,242
4/24/2022,138
4/25/2022,103
4/26/2022,77
4/27/2022,75
4/28/2022,163
4/29/2022,82
4/30/2022,106
5/1/2022,51
5/2/2022,2
5/3/2022,16
5/4/2022,108
5/5/2022,29
5/6/2022,213
5/7/2022,113
5/8/2022,64
5/9/2022,144
5/10/2022,75
5/11/2022,192
5/12/2022,27
5/13/2022,248
5/14/2022,260
5/15/2022,83
5/16/2022,123
5/17/2022,248
5/18/2022,144
5/19/2022,148
5/20/2022,152
5/21/2022,278
5/22/2022,232
5/23/2022,177
5/24/2022,52
5/25/2022,274
5/26/2022,279
5/27/2022,272
5/28/2022,274
5/29/2022,254
5/30/2022,243
5/31/2022,194
6/1/2022,267
6/2/2022,271
6/3/2022,256
6/4/2022,264
6/5/2022,276
6/6/2022,273
6/7/2022,275
6/8/2022,175
6/9/2022,230
6/10/2022,208
6/11/2022,241
6/12/2022,155
6/13/2022,275
6/14/2022,34
6/15/2022,69
6/16/2022,173
6/17/2022,269
6/18/2022,282
6/19/2022,272
6/20/2022,284
6/21/2022,287
6/22/2022,254
6/23/2022,162
6/24/2022,115
6/25/2022,182
6/26/2022,56
6/27/2022,268
6/28/2022,274
6/29/2022,280
6/30/2022,279
7/1/2022,277
7/2/2022,230
7/3/2022,279
7/4/2022,279
7/5/2022,272
7/6/2022,275
7/7/2022,247
7/8/2022,191
7/9/2022,267
7/10/2022,272
7/11/2022,285
7/12/2022,282
7/13/2022,278
7/14/2022,271
7/15/2022,269
7/16/2022,271
7/17/2022,270
7/18/2022,233
7/19/2022,217
7/20/2022,267
7/21/2022,273
7/22/2022,232
7/23/2022,263
7/24/2022,260
7/25/2022,259
7/26/2022,263
7/27/2022,269
7/28/2022,268
7/29/2022,259
7/30/2022,247
7/31/2022,241
8/1/2022,262
8/2/2022,261
8/3/2022,258
8/4/2022,251
8/5/2022,250
8/6/2022,200
8/7/2022,247
8/8/2022,213
8/9/2022,242
8/10/2022,247
8/11/2022,250
8/12/2022,249
8/13/2022,246
8/14/2022,247
8/15/2022,252
8/16/2022,255
8/17/2022,251
8/18/2022,241
8/19/2022,248
8/20/2022,220
8/21/2022,165
8/22/2022,198
8/23/2022,167
8/24/2022,222
8/25/2022,226
8/26/2022,227
8/27/2022,227
8/28/2022,227
8/29/2022,227
8/30/2022,227
8/31/2022,221
9/1/2022,225
9/2/2022,222
9/3/2022,220
9/4/2022,218
9/5/2022,220
9/6/2022,211
9/7/2022,125
9/8/2022,208
9/9/2022,216
9/10/2022,218
9/11/2022,211
9/12/2022,206
9/13/2022,206
9/14/2022,196
9/15/2022,181
9/16/2022,199
9/17/2022,191
9/18/2022,193
9/19/2022,194
9/20/2022,171
9/21/2022,125
9/22/2022,68
9/23/2022,178
9/24/2022,113
9/25/2022,180
9/26/2022,183
9/27/2022,181
9/28/2022,179
9/29/2022,175
9/30/2022,174
10/1/2022,170
10/2/2022,170
10/3/2022,131
10/4/2022,164
10/5/2022,149
10/6/2022,155
10/7/2022,160
10/8/2022,157
10/9/2022,1
10/10/2022,150
10/11/2022,147
10/12/2022,79
10/13/2022,9
10/14/2022,22
10/15/2022,6
10/16/2022,96
10/17/2022,25
10/18/2022,127
10/19/2022,119
10/20/2022,93
10/21/2022,9
10/22/2022,57
10/23/2022,126
10/24/2022,50
10/25/2022,131
10/26/2022,70
10/27/2022,49
10/28/2022,124
10/29/2022,126
10/30/2022,120
10/31/2022,103
11/1/2022,115
11/2/2022,118
11/3/2022,112
11/4/2022,97
11/5/2022,79
11/6/2022,107
11/7/2022,61
11/8/2022,13
11/9/2022,3
11/10/2022,6
11/11/2022,71
11/12/2022,101
11/13/2022,102
11/14/2022,101
11/15/2022,98
11/16/2022,3
11/17/2022,11
11/18/2022,65
11/19/2022,12
11/20/2022,87
11/21/2022,14
11/22/2022,1
11/23/2022,75
11/24/2022,85
11/25/2022,0
11/26/2022,6
11/27/2022,5
11/28/2022,51
11/29/2022,11
11/30/2022,0
12/1/2022,48
12/2/2022,73
12/3/2022,39
12/4/2022,36
12/5/2022,57
12/6/2022,62
12/7/2022,9
12/8/2022,31
12/9/2022,73
12/10/2022,77
12/11/2022,53
12/12/2022,0
12/13/2022,0
12/14/2022,5
12/15/2022,34
12/16/2022,10
12/17/2022,76
12/18/2022,79
12/19/2022,32
12/20/2022,44
12/21/2022,35
12/22/2022,74
12/23/2022,72
12/24/2022,73
12/25/2022,73
12/26/2022,68
12/27/2022,0
12/28/2022,51
12/29/2022,76
12/30/2022,82
12/31/2022,82
1/1/2023,75
1/2/2023,82
1/3/2023,80
1/4/2023,82
1/5/2023,10
1/6/2023,76
1/7/2023,13
1/8/2023,30
1/9/2023,81
1/10/2023,87
1/11/2023,88
1/12/2023,87
1/13/2023,1
1/14/2023,37
1/15/2023,80
1/16/2023,54
1/17/2023,78
1/18/2023,88
1/19/2023,88
1/20/2023,93
1/21/2023,81
1/22/2023,63
1/23/2023,50
1/24/2023,85
1/25/2023,102
1/26/2023,98
1/27/2023,106
1/28/2023,0
1/29/2023,3
1/30/2023,11
1/31/2023,20
2/1/2023,8
2/2/2023,49
2/3/2023,109
2/4/2023,0
2/5/2023,1
2/6/2023,22
2/7/2023,3
2/8/2023,6
2/9/2023,86
2/10/2023,121
2/11/2023,124
2/12/2023,124
2/13/2023,125
2/14/2023,129
2/15/2023,5
2/16/2023,129
2/17/2023,135
2/18/2023,76
2/19/2023,23
2/20/2023,27
2/21/2023,56
2/22/2023,129
2/23/2023,4
2/24/2023,150
