datetime,solariradiation
4/1/2022,145
4/2/2022,143
4/3/2022,142
4/4/2022,119
4/5/2022,135
4/6/2022,139
4/7/2022,133
4/8/2022,148
4/9/2022,141
4/10/2022,90
4/11/2022,63
4/12/2022,139
4/13/2022,126
4/14/2022,146
4/15/2022,154
4/16/2022,146
4/17/2022,143
4/18/2022,140
4/19/2022,142
4/20/2022,136
4/21/2022,144
4/22/2022,148
4/23/2022,147
4/24/2022,143
4/25/2022,147
4/26/2022,149
4/27/2022,149
4/28/2022,151
4/29/2022,147
4/30/2022,150
5/1/2022,128
5/2/2022,150
5/3/2022,140
5/4/2022,144
5/5/2022,133
5/6/2022,146
5/7/2022,148
5/8/2022,149
5/9/2022,149
5/10/2022,148
5/11/2022,153
5/12/2022,148
5/13/2022,155
5/14/2022,159
5/15/2022,153
5/16/2022,155
5/17/2022,153
5/18/2022,153
5/19/2022,154
5/20/2022,151
5/21/2022,158
5/22/2022,158
5/23/2022,167
5/24/2022,165
5/25/2022,150
5/26/2022,147
5/27/2022,146
5/28/2022,144
5/29/2022,152
5/30/2022,150
5/31/2022,135
6/1/2022,149
6/2/2022,161
6/3/2022,160
6/4/2022,157
6/5/2022,149
6/6/2022,153
6/7/2022,154
6/8/2022,153
6/9/2022,153
6/10/2022,145
6/11/2022,143
6/12/2022,139
6/13/2022,138
6/14/2022,137
6/15/2022,143
6/16/2022,143
6/17/2022,140
6/18/2022,142
6/19/2022,138
6/20/2022,147
6/21/2022,148
6/22/2022,140
6/23/2022,142
6/24/2022,144
6/25/2022,150
6/26/2022,145
6/27/2022,142
6/28/2022,139
6/29/2022,54
6/30/2022,83
7/1/2022,57
7/2/2022,63
7/3/2022,121
7/4/2022,26
7/5/2022,71
7/6/2022,63
7/7/2022,30
7/8/2022,77
7/9/2022,80
7/10/2022,30
7/11/2022,30
7/12/2022,123
7/13/2022,91
7/14/2022,45
7/15/2022,54
7/16/2022,30
7/17/2022,52
7/18/2022,74
7/19/2022,101
7/20/2022,62
7/21/2022,125
