datetime,solariradiation
4/1/2022,167
4/2/2022,166
4/3/2022,166
4/4/2022,126
4/5/2022,165
4/6/2022,165
4/7/2022,161
4/8/2022,170
4/9/2022,149
4/10/2022,137
4/11/2022,28
4/12/2022,164
4/13/2022,152
4/14/2022,174
4/15/2022,179
4/16/2022,172
4/17/2022,167
4/18/2022,167
4/19/2022,166
4/20/2022,165
4/21/2022,174
4/22/2022,170
4/23/2022,171
4/24/2022,149
4/25/2022,176
4/26/2022,176
4/27/2022,175
4/28/2022,173
4/29/2022,174
4/30/2022,179
5/1/2022,140
5/2/2022,158
5/3/2022,168
5/4/2022,171
5/5/2022,144
5/6/2022,174
5/7/2022,178
5/8/2022,177
5/9/2022,177
5/10/2022,177
5/11/2022,177
5/12/2022,179
5/13/2022,185
5/14/2022,187
5/15/2022,185
5/16/2022,183
5/17/2022,183
5/18/2022,182
5/19/2022,184
5/20/2022,185
5/21/2022,193
5/22/2022,189
5/23/2022,197
5/24/2022,185
5/25/2022,178
5/26/2022,177
5/27/2022,178
5/28/2022,186
5/29/2022,186
5/30/2022,182
5/31/2022,181
6/1/2022,186
6/2/2022,196
6/3/2022,193
6/4/2022,188
6/5/2022,183
6/6/2022,187
6/7/2022,189
6/8/2022,184
6/9/2022,186
6/10/2022,177
6/11/2022,176
6/12/2022,167
6/13/2022,171
6/14/2022,171
6/15/2022,173
6/16/2022,171
6/17/2022,172
6/18/2022,173
6/19/2022,170
6/20/2022,174
6/21/2022,171
6/22/2022,167
6/23/2022,170
6/24/2022,174
6/25/2022,177
6/26/2022,173
6/27/2022,177
6/28/2022,173
6/29/2022,82
6/30/2022,168
7/1/2022,98
7/2/2022,153
7/3/2022,99
7/4/2022,63
7/5/2022,63
7/6/2022,56
7/7/2022,59
7/8/2022,127
7/9/2022,86
7/10/2022,27
7/11/2022,39
7/12/2022,154
7/13/2022,158
7/14/2022,57
7/15/2022,70
7/16/2022,40
7/17/2022,77
7/18/2022,61
7/19/2022,114
7/20/2022,47
7/21/2022,143
7/22/2022,30
7/23/2022,3
7/24/2022,24
7/25/2022,26
7/26/2022,35
7/27/2022,37
7/28/2022,35
7/29/2022,57
7/30/2022,127
7/31/2022,54
8/1/2022,157
8/2/2022,156
